  533×12 table

         TestFolder          Accuracy    BestGuess    GuessScore       AN          CE          DS          HP          NE          SA          SC          SR   
    "S4/S4HD1/S4HD1AN"        0.38095      "SC"        0.57143       0.38095           0           0           0           0           0     0.57143    0.047619
    "S4/S4MK1/S4MK1AN"        0.38095      "DS"        0.61905       0.38095           0     0.61905           0           0           0           0           0
    "S4/S4NM2/S4NM2AN"        0.52381      "AN"        0.52381       0.52381           0           0           0           0    0.095238     0.33333    0.047619
    "S5/S5MK1/S5MK1AN"        0.47619      "AN"        0.47619       0.47619    0.047619     0.28571           0           0     0.19048           0           0
    "S5/S5MK2/S5MK2AN"        0.61905      "AN"        0.61905       0.61905           0     0.33333    0.047619           0           0           0           0
    "S5/S5MK3/S5MK3AN"           0.15      "DS"           0.85          0.15           0        0.85           0           0           0           0           0
    "S5/S5MK4/S5MK4AN"            0.3      "DS"            0.5           0.3           0         0.5         0.2           0           0           0           0
    "S5/S5NM4/S5NM4AN"        0.52381      "AN"        0.52381       0.52381    0.047619    0.047619           0           0     0.38095           0           0
    "S6/S6MK1/S6MK1AN"        0.33333      "AN"        0.33333       0.33333           0      0.2381      0.2381           0    0.047619     0.14286           0
    "S6/S6MK2/S6MK2AN"            0.1      "DS"           0.65           0.1           0        0.65           0           0           0        0.25           0
    "S7/S7MK1/S7MK1AN"        0.19048      "DS"        0.80952       0.19048           0     0.80952           0           0           0           0           0
    "S7/S7MK2/S7MK2AN"        0.33333      "DS"        0.38095       0.33333           0     0.38095           0           0           0           0     0.28571
    "S7/S7MK3/S7MK3AN"        0.33333      "SC"        0.38095       0.33333           0     0.14286           0           0     0.14286     0.38095           0
    "S7/S7HD1/S7HD1AN"        0.43478      "HP"        0.56522       0.43478           0           0     0.56522           0           0           0           0
    "S7/S7HD2/S7HD2AN"       0.047619      "DS"        0.38095      0.047619           0     0.38095     0.14286    0.095238     0.33333           0           0
    "S7/S7FM1/S7FM1AN"        0.85714      "AN"        0.85714       0.85714           0           0    0.047619           0           0    0.095238           0
    "S7/S7FM2/S7FM2AN"        0.85714      "AN"        0.85714       0.85714           0     0.14286           0           0           0           0           0
    "S7/S7FM3/S7FM3AN"              1      "AN"              1             1           0           0           0           0           0           0           0
    "S7/S7NM4/S7NM4AN"            0.6      "AN"            0.6           0.6           0           0        0.25           0           0        0.05         0.1
    "S10/S10MK2/S10MK2AN"         0.3      "DS"            0.5           0.3           0         0.5        0.05           0           0           0        0.15
    "S10/S10MK1/S10MK1AN"     0.14286      "NE"        0.57143       0.14286      0.2381    0.047619           0     0.57143           0           0           0
    "S10/S10MK3/S10MK3AN"    0.095238      "SR"        0.38095      0.095238           0     0.28571      0.2381           0           0           0     0.38095
    "S10/S10MK4/S10MK4AN"           0      "DS"        0.66667             0           0     0.66667     0.19048           0           0           0     0.14286
    "S10/S10NM2/S10NM2AN"     0.28571      "DS"        0.52381       0.28571           0     0.52381           0           0           0     0.19048           0
    "S11/S11MK2/S11MK2AN"    0.047619      "SR"        0.42857      0.047619           0     0.28571           0           0           0      0.2381     0.42857
    "S11/S11MK1/S11MK1AN"     0.33333      "HP"        0.57143       0.33333           0    0.095238     0.57143           0           0           0           0
    "S11/S11NM3/S11NM3AN"      0.7619      "AN"         0.7619        0.7619           0           0           0           0           0      0.2381           0
    "S12/S12MK2/S12MK2AN"           0      "DS"        0.90476             0    0.095238     0.90476           0           0           0           0           0
    "S12/S12MK1/S12MK1AN"    0.095238      "DS"        0.80952      0.095238           0     0.80952    0.047619           0           0           0    0.047619
    "S12/S12NM2/S12NM2AN"      0.2381      "DS"        0.28571        0.2381           0     0.28571     0.14286    0.095238    0.095238     0.14286           0
    "S13/S13MK1/S13MK1AN"           0      "DS"        0.38095             0           0     0.38095    0.095238           0           0      0.2381     0.28571
    "S14/S14HD1/S14HD1AN"         0.1      "DS"           0.75           0.1        0.05        0.75           0           0           0         0.1           0
    "S14/S14GL1/S14GL1AN"        0.25      "HP"            0.5          0.25           0        0.25         0.5           0           0           0           0
    "S14/S14MK1/S14MK1AN"     0.36364      "AN"        0.36364       0.36364           0     0.13636           0     0.18182     0.18182           0     0.13636
    "S14/S14NM2/S14NM2AN"     0.40909      "AN"        0.40909       0.40909           0     0.13636           0           0     0.22727     0.22727           0
    "S15/S15MK1/S15MK1AN"     0.19048      "DS"        0.47619       0.19048           0     0.47619     0.14286           0           0    0.095238    0.095238
    "S16/S16MK1/S16MK1AN"     0.42857      "AN"        0.42857       0.42857           0     0.33333      0.2381           0           0           0           0
    "S17/S17MK1/S17MK1AN"     0.14286      "HP"        0.85714       0.14286           0           0     0.85714           0           0           0           0
    "S18/S18MK1/S18MK1AN"     0.55556      "AN"        0.55556       0.55556           0     0.33333    0.055556           0           0    0.055556           0
    "S19/S19GL1/S19GL1AN"    0.045455      "DS"        0.86364      0.045455           0     0.86364    0.045455           0    0.045455           0           0
    "S19/S19MK1/S19MK1AN"    0.095238      "HP"        0.47619      0.095238           0     0.38095     0.47619           0           0           0    0.047619
    "S20/S20MK1/S20MK1AN"     0.68182      "AN"        0.68182       0.68182           0     0.22727    0.045455           0           0    0.045455           0
    "S21/S21MK1/S21MK1AN"        0.05      "HP"           0.75          0.05           0        0.15        0.75           0           0        0.05           0
    "S1/S1GL1/S1GL1CE"        0.45455      "CE"        0.45455      0.090909     0.45455    0.090909           0           0     0.36364           0           0
    "S1/S1HD1/S1HD1CE"        0.80952      "CE"        0.80952       0.14286     0.80952           0           0           0    0.047619           0           0
    "S1/S1HD2/S1HD2CE"              1      "CE"              1             0           1           0           0           0           0           0           0
    "S1/S1MK1/S1MK1CE"        0.28571      "DS"        0.28571       0.28571     0.28571     0.28571     0.14286           0           0           0           0
    "S1/S1MK2/S1MK2CE"        0.90476      "CE"        0.90476             0     0.90476    0.047619           0           0           0    0.047619           0
    "S1/S1MK3/S1MK3CE"              0      "DS"        0.52381       0.47619           0     0.52381           0           0           0           0           0
    "S1/S1MK4/S1MK4CE"        0.44444      "SR"        0.44444             0     0.44444    0.055556           0           0           0    0.055556     0.44444
    "S1/S1MK5/S1MK5CE"        0.95238      "CE"        0.95238             0     0.95238           0           0           0           0    0.047619           0
    "S1/S1MK6/S1MK6CE"        0.71429      "CE"        0.71429       0.14286     0.71429           0           0           0     0.14286           0           0
    "S1/S1MK7/S1MK7CE"        0.90476      "CE"        0.90476      0.095238     0.90476           0           0           0           0           0           0
    "S1/S1MK8/S1MK8CE"       0.047619      "DS"        0.66667        0.2381    0.047619     0.66667    0.047619           0           0           0           0
    "S1/S1NM2/S1NM2CE"              1      "CE"              1             0           1           0           0           0           0           0           0
    "S2/S2NM2/S2NM2CE"           0.95      "CE"           0.95             0        0.95           0           0           0           0        0.05           0
    "S3/S3HD1/S3HD1CE"        0.85714      "CE"        0.85714             0     0.85714           0           0           0           0           0     0.14286
    "S3/S3HD2/S3HD2CE"              1      "CE"              1             0           1           0           0           0           0           0           0
    "S3/S3MK1/S3MK1CE"        0.95238      "CE"        0.95238      0.047619     0.95238           0           0           0           0           0           0
    "S3/S3MK2/S3MK2CE"         0.7619      "CE"         0.7619      0.047619      0.7619     0.19048           0           0           0           0           0
    "S3/S3MK3/S3MK3CE"        0.71429      "CE"        0.71429        0.2381     0.71429           0    0.047619           0           0           0           0
    "S3/S3MK4/S3MK4CE"           0.35      "DS"           0.55             0        0.35        0.55         0.1           0           0           0           0
    "S3/S3MK5/S3MK5CE"              0      "DS"        0.57143             0           0     0.57143    0.095238           0           0     0.14286     0.19048
    "S3/S3NM3/S3NM3CE"              1      "CE"              1             0           1           0           0           0           0           0           0
    "S4/S4HD1/S4HD1CE"        0.95238      "CE"        0.95238      0.047619     0.95238           0           0           0           0           0           0
    "S4/S4MK1/S4MK1CE"              0      "DS"        0.47368       0.21053           0     0.47368     0.31579           0           0           0           0
    "S4/S4NM2/S4NM2CE"              1      "CE"              1             0           1           0           0           0           0           0           0
    "S5/S5MK1/S5MK1CE"        0.85714      "CE"        0.85714      0.095238     0.85714           0           0           0    0.047619           0           0
    "S5/S5MK2/S5MK2CE"              0      "DS"        0.66667      0.095238           0     0.66667      0.2381           0           0           0           0
    "S5/S5MK3/S5MK3CE"              0      "DS"        0.90476             0           0     0.90476    0.095238           0           0           0           0
    "S5/S5MK4/S5MK4CE"              0      "DS"           0.45           0.2           0        0.45        0.35           0           0           0           0
    "S5/S5NM4/S5NM4CE"            0.9      "CE"            0.9           0.1         0.9           0           0           0           0           0           0
    "S6/S6MK1/S6MK1CE"        0.85714      "CE"        0.85714      0.047619     0.85714    0.095238           0           0           0           0           0
    "S6/S6MK2/S6MK2CE"            0.7      "CE"            0.7             0         0.7        0.15           0           0           0         0.1        0.05
    "S7/S7MK1/S7MK1CE"              0      "DS"        0.80952       0.19048           0     0.80952           0           0           0           0           0
    "S7/S7MK2/S7MK2CE"              0      "AN"        0.66667       0.66667           0     0.28571    0.047619           0           0           0           0
    "S7/S7MK3/S7MK3CE"            0.4      "CE"            0.4           0.1         0.4         0.1         0.1           0         0.3           0           0
    "S7/S7HD1/S7HD1CE"              1      "CE"              1             0           1           0           0           0           0           0           0
    "S7/S7HD2/S7HD2CE"           0.85      "CE"           0.85             0        0.85           0           0           0        0.15           0           0
    "S7/S7FM1/S7FM1CE"              0      "AN"        0.61905       0.61905           0     0.19048     0.19048           0           0           0           0
    "S7/S7FM2/S7FM2CE"        0.42857      "CE"        0.42857       0.42857     0.42857    0.095238           0           0           0    0.047619           0
    "S7/S7FM3/S7FM3CE"              0      "AN"           0.85          0.85           0         0.1           0           0        0.05           0           0
    "S7/S7NM4/S7NM4CE"              1      "CE"              1             0           1           0           0           0           0           0           0
    "S10/S10MK2/S10MK2CE"     0.61905      "CE"        0.61905      0.047619     0.61905     0.28571    0.047619           0           0           0           0
    "S10/S10MK1/S10MK1CE"           1      "CE"              1             0           1           0           0           0           0           0           0
    "S10/S10MK3/S10MK3CE"     0.42857      "CE"        0.42857      0.095238     0.42857     0.14286     0.33333           0           0           0           0
    "S10/S10MK4/S10MK4CE"      0.2381      "HP"        0.33333             0      0.2381     0.33333     0.33333           0           0           0    0.095238
    "S10/S10NM2/S10NM2CE"           1      "CE"              1             0           1           0           0           0           0           0           0
    "S11/S11MK2/S11MK2CE"     0.95238      "CE"        0.95238      0.047619     0.95238           0           0           0           0           0           0
    "S11/S11MK1/S11MK1CE"           0      "DS"            0.4          0.25           0         0.4        0.35           0           0           0           0
    "S11/S11NM3/S11NM3CE"     0.85714      "CE"        0.85714       0.14286     0.85714           0           0           0           0           0           0
    "S12/S12MK2/S12MK2CE"           0      "DS"        0.85714      0.047619           0     0.85714           0           0           0           0    0.095238
    "S12/S12MK1/S12MK1CE"           0      "DS"        0.61905             0           0     0.61905     0.33333           0           0           0    0.047619
    "S12/S12NM2/S12NM2CE"           1      "CE"              1             0           1           0           0           0           0           0           0
    "S13/S13MK1/S13MK1CE"           1      "CE"              1             0           1           0           0           0           0           0           0
    "S14/S14HD1/S14HD1CE"     0.95238      "CE"        0.95238      0.047619     0.95238           0           0           0           0           0           0
    "S14/S14GL1/S14GL1CE"     0.13043      "DS"         0.3913       0.13043     0.13043      0.3913           0           0     0.34783           0           0
    "S14/S14MK1/S14MK1CE"           1      "CE"              1             0           1           0           0           0           0           0           0
    "S14/S14NM2/S14NM2CE"     0.95238      "CE"        0.95238      0.047619     0.95238           0           0           0           0           0           0
    "S15/S15MK1/S15MK1CE"     0.21053      "DS"        0.63158      0.052632     0.21053     0.63158           0           0           0           0     0.10526
    "S16/S16MK1/S16MK1CE"        0.75      "CE"           0.75             0        0.75        0.15         0.1           0           0           0           0
    "S17/S17MK1/S17MK1CE"           0      "AN"            0.4           0.4           0           0           0           0        0.35         0.1        0.15
    "S18/S18MK1/S18MK1CE"     0.28571      "DS"        0.28571             0     0.28571     0.28571           0    0.047619      0.2381    0.095238    0.047619
    "S19/S19GL1/S19GL1CE"    0.090909      "SA"        0.40909       0.13636    0.090909     0.13636     0.22727           0     0.40909           0           0
    "S19/S19MK1/S19MK1CE"           0      "HP"        0.61905             0           0     0.38095     0.61905           0           0           0           0
    "S20/S20MK1/S20MK1CE"           0      "AN"           0.65          0.65           0         0.1         0.1           0           0        0.05         0.1
    "S21/S21MK1/S21MK1CE"           0      "DS"        0.90476             0           0     0.90476    0.095238           0           0           0           0
    "S1/S1GL1/S1GL1DS"        0.85714      "DS"        0.85714             0           0     0.85714    0.095238           0    0.047619           0           0
    "S1/S1HD1/S1HD1DS"        0.95238      "DS"        0.95238      0.047619           0     0.95238           0           0           0           0           0
    "S1/S1HD2/S1HD2DS"           0.35      "HP"           0.35             0           0        0.35        0.35         0.2           0           0         0.1
    "S1/S1MK1/S1MK1DS"        0.28571      "AN"        0.57143       0.57143           0     0.28571     0.14286           0           0           0           0
    "S1/S1MK2/S1MK2DS"        0.80952      "DS"        0.80952             0     0.19048     0.80952           0           0           0           0           0
    "S1/S1MK3/S1MK3DS"           0.85      "DS"           0.85          0.15           0        0.85           0           0           0           0           0
    "S1/S1MK4/S1MK4DS"            0.1      "SR"            0.4           0.4           0         0.1         0.1           0           0           0         0.4
    "S1/S1MK5/S1MK5DS"        0.91304      "DS"        0.91304             0           0     0.91304           0    0.086957           0           0           0
    "S1/S1MK6/S1MK6DS"         0.7619      "DS"         0.7619             0     0.14286      0.7619    0.095238           0           0           0           0
    "S1/S1MK7/S1MK7DS"        0.33333      "HP"        0.33333        0.2381           0     0.33333     0.33333           0           0           0    0.095238
    "S1/S1MK8/S1MK8DS"           0.75      "DS"           0.75          0.25           0        0.75           0           0           0           0           0
    "S1/S1NM2/S1NM2DS"            0.8      "DS"            0.8             0           0         0.8           0           0         0.2           0           0
    "S2/S2HD1/S2HD1DS"        0.19048      "HP"        0.71429      0.095238           0     0.19048     0.71429           0           0           0           0
    "S2/S2GL1/S2GL1DS"            0.1      "HP"           0.45           0.3           0         0.1        0.45           0           0        0.15           0
    "S2/S2NM2/S2NM2DS"            0.4      "DS"            0.4           0.2           0         0.4        0.35           0           0           0        0.05
    "S3/S3HD1/S3HD1DS"              0      "AN"        0.80952       0.80952           0           0     0.14286    0.047619           0           0           0
    "S3/S3HD2/S3HD2DS"        0.90476      "DS"        0.90476      0.047619           0     0.90476    0.047619           0           0           0           0
    "S3/S3MK1/S3MK1DS"        0.85714      "DS"        0.85714       0.14286           0     0.85714           0           0           0           0           0
    "S3/S3MK2/S3MK2DS"        0.52381      "DS"        0.52381       0.28571     0.19048     0.52381           0           0           0           0           0
    "S3/S3MK3/S3MK3DS"        0.14286      "AN"        0.80952       0.80952           0     0.14286    0.047619           0           0           0           0
    "S3/S3MK4/S3MK4DS"        0.85714      "DS"        0.85714      0.095238           0     0.85714    0.047619           0           0           0           0
    "S3/S3MK5/S3MK5DS"        0.33333      "SR"        0.42857             0           0     0.33333    0.095238           0           0     0.14286     0.42857
    "S3/S3NM3/S3NM3DS"            0.3      "SA"            0.4           0.2           0         0.3         0.1           0         0.4           0           0
    "S4/S4GL1/S4GL1DS"           0.15      "AN"           0.75          0.75           0        0.15        0.05           0           0        0.05           0
    "S4/S4HD1/S4HD1DS"              0      "SC"        0.47619       0.47619           0           0           0           0           0     0.47619    0.047619
    "S4/S4MK1/S4MK1DS"        0.57143      "DS"        0.57143       0.33333           0     0.57143    0.047619           0           0           0    0.047619
    "S4/S4NM2/S4NM2DS"         0.2381      "SR"        0.61905      0.047619           0      0.2381           0           0           0    0.095238     0.61905
    "S5/S5MK1/S5MK1DS"        0.71429      "DS"        0.71429       0.19048           0     0.71429           0           0    0.095238           0           0
    "S5/S5MK2/S5MK2DS"         0.7619      "DS"         0.7619      0.095238           0      0.7619     0.14286           0           0           0           0
    "S5/S5MK3/S5MK3DS"           0.95      "DS"           0.95          0.05           0        0.95           0           0           0           0           0
    "S5/S5MK4/S5MK4DS"        0.45455      "DS"        0.45455       0.31818           0     0.45455     0.13636           0           0           0    0.090909
    "S5/S5NM4/S5NM4DS"        0.80952      "DS"        0.80952       0.19048           0     0.80952           0           0           0           0           0
    "S6/S6MK1/S6MK1DS"        0.85714      "DS"        0.85714             0           0     0.85714    0.095238           0    0.047619           0           0
    "S6/S6MK2/S6MK2DS"        0.90476      "DS"        0.90476      0.095238           0     0.90476           0           0           0           0           0
    "S7/S7MK1/S7MK1DS"        0.71429      "DS"        0.71429       0.28571           0     0.71429           0           0           0           0           0
    "S7/S7MK2/S7MK2DS"        0.61905      "DS"        0.61905       0.14286           0     0.61905           0           0           0           0      0.2381
    "S7/S7MK3/S7MK3DS"            0.7      "DS"            0.7           0.2           0         0.7           0           0           0         0.1           0
    "S7/S7HD1/S7HD1DS"              1      "DS"              1             0           0           1           0           0           0           0           0
    "S7/S7HD2/S7HD2DS"            0.5      "DS"            0.5           0.3           0         0.5         0.2           0           0           0           0
    "S7/S7FM1/S7FM1DS"        0.14286      "AN"        0.57143       0.57143           0     0.14286    0.047619           0           0      0.2381           0
    "S7/S7FM2/S7FM2DS"              0      "AN"        0.72727       0.72727    0.045455           0           0           0           0     0.22727           0
    "S7/S7FM3/S7FM3DS"       0.047619      "AN"        0.95238       0.95238           0    0.047619           0           0           0           0           0
    "S7/S7NM4/S7NM4DS"              1      "DS"              1             0           0           1           0           0           0           0           0
    "S10/S10MK2/S10MK2DS"     0.85714      "DS"        0.85714      0.047619           0     0.85714    0.047619           0           0           0    0.047619
    "S10/S10MK1/S10MK1DS"     0.61905      "DS"        0.61905       0.33333    0.047619     0.61905           0           0           0           0           0
    "S10/S10MK3/S10MK3DS"     0.47619      "DS"        0.47619      0.047619           0     0.47619     0.38095           0           0           0    0.095238
    "S10/S10MK4/S10MK4DS"     0.95238      "DS"        0.95238             0           0     0.95238           0           0           0           0    0.047619
    "S10/S10NM2/S10NM2DS"     0.84211      "DS"        0.84211       0.10526           0     0.84211    0.052632           0           0           0           0
    "S11/S11MK2/S11MK2DS"     0.57143      "DS"        0.57143      0.047619    0.095238     0.57143    0.047619           0           0    0.047619     0.19048
    "S11/S11MK1/S11MK1DS"     0.41667      "HP"        0.41667       0.16667           0     0.41667     0.41667           0           0           0           0
    "S11/S11NM3/S11NM3DS"     0.47619      "DS"        0.47619      0.047619           0     0.47619    0.047619    0.047619           0     0.38095           0
    "S12/S12MK2/S12MK2DS"     0.95238      "DS"        0.95238             0    0.047619     0.95238           0           0           0           0           0
    "S12/S12MK1/S12MK1DS"     0.90476      "DS"        0.90476             0           0     0.90476    0.047619           0           0           0    0.047619
    "S12/S12NM2/S12NM2DS"     0.80952      "DS"        0.80952             0           0     0.80952     0.19048           0           0           0           0
    "S13/S13MK1/S13MK1DS"     0.61905      "DS"        0.61905             0           0     0.61905     0.38095           0           0           0           0
    "S14/S14HD1/S14HD1DS"     0.66667      "DS"        0.66667             0           0     0.66667           0           0           0     0.33333           0
    "S14/S14GL1/S14GL1DS"     0.83333      "DS"        0.83333         0.125           0     0.83333           0           0    0.041667           0           0
    "S14/S14MK1/S14MK1DS"           0      "AN"        0.47619       0.47619    0.047619           0     0.14286           0           0    0.047619     0.28571
    "S14/S14NM2/S14NM2DS"         0.4      "DS"            0.4           0.3         0.1         0.4           0           0        0.05         0.1        0.05
    "S15/S15MK1/S15MK1DS"         0.8      "DS"            0.8             0           0         0.8           0           0           0         0.2           0
    "S16/S16MK1/S16MK1DS"     0.85714      "DS"        0.85714      0.095238           0     0.85714    0.047619           0           0           0           0
    "S17/S17MK1/S17MK1DS"    0.095238      "AN"         0.7619        0.7619           0    0.095238           0    0.047619           0    0.047619    0.047619
    "S18/S18MK1/S18MK1DS"     0.78947      "DS"        0.78947       0.15789           0     0.78947           0           0           0    0.052632           0
    "S19/S19GL1/S19GL1DS"     0.71429      "DS"        0.71429        0.2381           0     0.71429           0           0    0.047619           0           0
    "S19/S19MK1/S19MK1DS"     0.57143      "DS"        0.57143             0           0     0.57143     0.42857           0           0           0           0
    "S20/S20MK1/S20MK1DS"     0.33333      "AN"        0.52381       0.52381           0     0.33333    0.047619           0           0    0.095238           0
    "S21/S21MK1/S21MK1DS"        0.35      "HP"           0.55             0           0        0.35        0.55           0           0           0         0.1
    "S1/S1GL1/S1GL1HP"              1      "HP"              1             0           0           0           1           0           0           0           0
    "S1/S1HD1/S1HD1HP"        0.47619      "HP"        0.47619      0.095238           0     0.14286     0.47619           0           0           0     0.28571
    "S1/S1HD2/S1HD2HP"        0.80952      "HP"        0.80952      0.047619    0.047619           0     0.80952           0           0           0    0.095238
    "S1/S1MK1/S1MK1HP"        0.19048      "DS"        0.61905       0.19048           0     0.61905     0.19048           0           0           0           0
    "S1/S1MK2/S1MK2HP"              1      "HP"              1             0           0           0           1           0           0           0           0
    "S1/S1MK3/S1MK3HP"        0.19231      "DS"        0.73077      0.076923           0     0.73077     0.19231           0           0           0           0
    "S1/S1MK4/S1MK4HP"        0.85714      "HP"        0.85714             0           0           0     0.85714           0           0           0     0.14286
    "S1/S1MK5/S1MK5HP"              1      "HP"              1             0           0           0           1           0           0           0           0
    "S1/S1MK6/S1MK6HP"        0.80952      "HP"        0.80952             0           0           0     0.80952           0           0           0     0.19048
    "S1/S1MK7/S1MK7HP"              1      "HP"              1             0           0           0           1           0           0           0           0
    "S1/S1MK8/S1MK8HP"       0.047619      "DS"        0.80952       0.14286           0     0.80952    0.047619           0           0           0           0
    "S1/S1NM2/S1NM2HP"        0.66667      "HP"        0.66667       0.19048           0           0     0.66667           0           0           0     0.14286
    "S2/S2HD1/S2HD1HP"              1      "HP"              1             0           0           0           1           0           0           0           0
    "S2/S2GL1/S2GL1HP"        0.89286      "HP"        0.89286      0.071429    0.035714           0     0.89286           0           0           0           0
    "S2/S2NM2/S2NM2HP"              1      "HP"              1             0           0           0           1           0           0           0           0
    "S3/S3HD1/S3HD1HP"        0.61905      "HP"        0.61905        0.2381           0           0     0.61905     0.14286           0           0           0
    "S3/S3HD2/S3HD2HP"        0.38095      "HP"        0.38095      0.095238           0     0.38095     0.38095     0.14286           0           0           0
    "S3/S3MK1/S3MK1HP"        0.61905      "HP"        0.61905             0           0    0.095238     0.61905           0           0           0     0.28571
    "S3/S3MK2/S3MK2HP"        0.61905      "HP"        0.61905             0           0     0.28571     0.61905           0           0           0    0.095238
    "S3/S3MK3/S3MK3HP"        0.33333      "AN"        0.61905       0.61905           0           0     0.33333    0.047619           0           0           0
    "S3/S3MK4/S3MK4HP"        0.14286      "DS"        0.47619       0.19048           0     0.47619     0.14286           0           0           0     0.19048
    "S3/S3MK5/S3MK5HP"         0.2381      "DS"        0.47619             0           0     0.47619      0.2381           0           0     0.14286     0.14286
    "S3/S3NM3/S3NM3HP"        0.61905      "HP"        0.61905       0.28571           0    0.047619     0.61905           0    0.047619           0           0
    "S4/S4GL1/S4GL1HP"            0.5      "HP"            0.5          0.45           0        0.05         0.5           0           0           0           0
    "S4/S4HD1/S4HD1HP"        0.14286      "SR"        0.28571       0.19048           0           0     0.14286      0.2381           0     0.14286     0.28571
    "S4/S4MK1/S4MK1HP"         0.2381      "AN"        0.61905       0.61905           0     0.14286      0.2381           0           0           0           0
    "S4/S4NM2/S4NM2HP"        0.72727      "HP"        0.72727             0    0.045455           0     0.72727           0           0    0.045455     0.18182
    "S5/S5MK1/S5MK1HP"        0.95238      "HP"        0.95238             0           0    0.047619     0.95238           0           0           0           0
    "S5/S5MK2/S5MK2HP"        0.95238      "HP"        0.95238             0           0    0.047619     0.95238           0           0           0           0
    "S5/S5MK3/S5MK3HP"         0.2381      "DS"        0.61905       0.14286           0     0.61905      0.2381           0           0           0           0
    "S5/S5MK4/S5MK4HP"        0.80952      "HP"        0.80952       0.14286           0    0.047619     0.80952           0           0           0           0
    "S5/S5NM4/S5NM4HP"              1      "HP"              1             0           0           0           1           0           0           0           0
    "S6/S6MK1/S6MK1HP"         0.7619      "HP"         0.7619             0           0    0.047619      0.7619           0           0           0     0.19048
    "S6/S6MK2/S6MK2HP"           0.05      "DS"            0.8          0.05           0         0.8        0.05           0           0         0.1           0
    "S7/S7MK1/S7MK1HP"              0      "DS"        0.61905       0.38095           0     0.61905           0           0           0           0           0
    "S7/S7MK2/S7MK2HP"              0      "DS"        0.42857       0.38095           0     0.42857           0           0           0           0     0.19048
    "S7/S7MK3/S7MK3HP"           0.25      "AN"           0.35          0.35           0        0.25        0.25           0           0         0.1        0.05
    "S7/S7HD1/S7HD1HP"        0.71429      "HP"        0.71429       0.28571           0           0     0.71429           0           0           0           0
    "S7/S7HD2/S7HD2HP"        0.57143      "HP"        0.57143       0.33333           0    0.095238     0.57143           0           0           0           0
    "S7/S7FM1/S7FM1HP"            0.4      "AN"        0.53333       0.53333           0    0.066667         0.4           0           0           0           0
